"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.010469833E0,-1.960005999E0,6.207194924E-1,4.891301632E0,5.305822072E0
3.020437833E0,-1.917652965E0,6.965364814E-1,4.765535355E0,5.183906170E0
3.030406833E0,-1.846485019E0,7.490708232E-1,4.702126503E0,5.106917629E0
3.040374833E0,-1.830601096E0,7.383824587E-1,4.648474693E0,5.050210491E0
3.050343833E0,-1.909101129E0,6.942531466E-1,4.588639259E0,5.018193380E0
3.060311833E0,-2.108687878E0,6.354238987E-1,4.543247223E0,5.048903190E0
3.070280833E0,-2.422817230E0,4.934639037E-1,4.474813938E0,5.112485671E0
3.080248833E0,-2.817146540E0,2.192765623E-1,4.438572407E0,5.261684317E0
3.090216833E0,-3.223262310E0,-2.174196392E-2,4.425986767E0,5.475331176E0
3.100185833E0,-3.589526415E0,-2.401991934E-1,4.374656200E0,5.663921999E0
3.110153833E0,-3.914039612E0,-4.026367366E-1,4.252122879E0,5.793304014E0
3.120122833E0,-4.181055546E0,-5.330714583E-1,4.059974194E0,5.852245818E0
3.130090833E0,-4.427985191E0,-6.114723682E-1,3.745993614E0,5.832102491E0
3.140059833E0,-4.691198826E0,-5.264325738E-1,3.318658113E0,5.770439269E0
3.150027833E0,-4.929298878E0,-3.870507479E-1,2.896595478E0,5.730450338E0
3.159996833E0,-5.133558273E0,-2.301916331E-1,2.530493736E0,5.727984574E0
3.169964833E0,-5.251842022E0,-6.545206159E-2,2.223203421E0,5.703399166E0
3.179932833E0,-5.241330147E0,-1.964914985E-2,1.931861520E0,5.586055561E0
3.189901833E0,-5.156785488E0,-1.292877346E-1,1.591721177E0,5.398400522E0
